Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
111,барбершоп,Барбершопы,"улица Сакена Сейфуллина, 5",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:30-21:30; Вт: 09:30-21:30; Ср: 09:30-21:30; Чт: 09:30-21:30; Пт: 09:30-21:30; Сб: 09:30-21:30; Вс: 09:30-21:30,+05:00,4.9,63,87006116963,,,,,,,,,,https://wa.me/77006116963,,,,,,51.168883,71.402306,https://2gis.com/firm/70000001109753336,branch
A.e.barber.kz,,Барбершопы,"улица Сакена Сейфуллина, 5",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,23,87056707519,,,,,,,https://instagram.com/a.e.barber.kz,,,https://wa.me/77056707519,,,,,,51.168883,71.402306,https://2gis.com/firm/70000001112966271,branch
Abil Hair,кабинет барбера,Барбершопы,"улица Сарайшык, 5/1",цокольный этаж; НП: 18,,,Есиль район,Астана,,Астана,Казахстан,"Пн: 10:30-14:00, 14:45-23:00; Вт: 10:30-14:00, 14:45-23:00; Ср: 10:30-14:00, 14:45-23:00; Чт: 10:30-14:00, 14:45-23:00; Пт: 10:30-14:00, 14:45-23:00; Сб: 10:30-14:00, 14:45-23:00; Вс: 10:30-14:00, 14:45-23:00",+05:00,4.8,75,87477301839,,,,,,,https://instagram.com/barberdayl,,,https://wa.me/77477301839,,,,,,51.137313,71.426473,https://2gis.com/firm/70000001065392433,branch
Abyroi_barbershop,,Барбершопы,"улица Жумекен Нажимеденов, 29",,010000,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,281,87025075161,,,,,,,https://instagram.com/abyroi_barbershop_01,,,https://wa.me/77025075161,,,,,,51.111628,71.52334,https://2gis.com/firm/70000001113930754,branch
Adai Barbershop,,Барбершопы,"улица Малика Габдуллина, 18",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи),+05:00,5.0,34,87077750791,,,,,,,https://instagram.com/barbershop_adai,,,https://wa.me/77077750791,,,,,,51.165501,71.43217,https://2gis.com/firm/70000001116101836,branch
Amir,барбершоп,Барбершопы,"проспект Ракымжан Кошкарбаев, 15",цокольный этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.8,158,87775100693,,,,,,,https://instagram.com/amir.barbershop.astana,,,https://wa.me/77775100693,,,,https://t.me/+77775100693,,51.126494,71.483848,https://2gis.com/firm/70000001065617342,branch
Ar,барбершоп,Барбершопы,"проспект Ракымжан Кошкарбаев, 48",цокольный этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,5.0,7,87754805250,,,,,,,https://instagram.com/ar.barbershop_ast,,,https://wa.me/77754805250,,,,,,51.127366,71.495251,https://2gis.com/firm/70000001110703700,branch
ARA Barbershop,,Барбершопы,"улица Жубан Молдагалиев, 3",НП: 2,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:30; Вт: 10:00-21:30; Ср: 10:00-21:30; Чт: 10:00-21:30; Пт: 10:00-21:30; Сб: 10:00-21:30; Вс: 10:00-21:30 (по предварительной записи),+05:00,4.8,97,87001545348,,,,,,,https://instagram.com/ara.barbershop.astana,,,https://wa.me/77001545348,,,,,,51.12692,71.363926,https://2gis.com/firm/70000001112759934,branch
ARA Barbershop,,Барбершопы,"улица Санжара Асфендиярова, 5",НП: 12,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:30; Вт: 10:00-21:30; Ср: 10:00-21:30; Чт: 10:00-21:30; Пт: 10:00-21:30; Сб: 10:00-21:30; Вс: 10:00-21:30 (по предварительной записи),+05:00,5.0,706,87084256627,87172256627,,,,,,https://instagram.com/ara.barbershop.astana,,,https://wa.me/77084256627,,,,,,51.133197,71.381157,https://2gis.com/firm/70000001065229746,branch
Arlan,,Барбершопы,"проспект Абылай хана, 52а",цокольный этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи),+05:00,5.0,130,87473456990,,,,,,,https://instagram.com/arlanprime,,,https://wa.me/77473456990,,,,,,51.146182,71.506634,https://2gis.com/firm/70000001114873424,branch
