Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
7 небо,бизнес-центр,Бизнес-центры; Аренда помещений,"Кабдолова улица, 2",,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-14:00,+05:00,4.8,8,87077272271,,,,,,,,,,,,,,,43.237828,76.85848,https://2gis.com/firm/70000001093612188,branch
Abylai Khan Plaza,многофункциональный комплекс,Бизнес-центры,"проспект Абылай хана, 53",4 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,132,87717185884,,,,,,,,,,,,,,,43.264037,76.939834,https://2gis.com/firm/70000001028198889,branch
Akas,бизнес-центр,Бизнес-центры,"проспект Абая, 218/1",,050006,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.8,36,87273394612,,,,,,,,,,,,,,,43.232335,76.870453,https://2gis.com/firm/70000001041371651,branch
Alatau,бизнес-центр,Бизнес-центры,"Муканова улица, 223в",2 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.8,23,87273784008,87771631239,87081095139,,,,,,,https://wa.me/77081095139,https://wa.me/77771631239,,,,,43.251531,76.914211,https://2gis.com/firm/70000001020025817,branch
Alatau views,бизнес-центр,Бизнес-центры,"улица Юрия Померанцева, 5",,050059,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,5.0,13,87017540672,87071170748,,,,,,,,https://wa.me/77017540672,https://wa.me/77071170748,,,,,43.233596,76.943308,https://2gis.com/firm/70000001099976454,branch
Alba e`Esperanza,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Зенкова, 22",1 этаж,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.7,27,87719935700,87779501869 (администратор),,,,,,,,,,,,,,43.259992,76.957116,https://2gis.com/firm/70000001039069993,branch
AlmaTau,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Кажымукана, 86",1 этаж,050059,Горный гигант м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.9,28,87081970545,,,,,,,,,,,,,,,43.222069,76.950078,https://2gis.com/firm/9429940001195815,branch
Almaty Plaza,​бизнес-центр,Бизнес-центры,"улица Наурызбай батыра, 17а",,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00,+05:00,4.9,45,87777002099 (отдел управления зданием ),87073264505 (отдел управления аренды),,,,,,,,,,,,,,43.264449,76.934484,https://2gis.com/firm/70000001081846074,branch
Ambassador,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Толе би, 83",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 07:00-13:00, 14:00-20:00; Вт: 07:00-13:00, 14:00-20:00; Ср: 07:00-13:00, 14:00-20:00; Чт: 07:00-13:00, 14:00-20:00; Пт: 07:00-13:00, 14:00-20:00 (администрация: пн-пт 9:00-18:00)",+05:00,4.9,142,87076028369,,,,,,https://instagram.com/ambassador_business_center,,,https://wa.me/77076028369,,,,https://t.me/+77076028369,,43.254458,76.931665,https://2gis.com/firm/9429940000791576,branch
Ardin,бизнес-центр,Бизнес-центры,"проспект Достык, 91/2","402, 501-510 офис; 4, 5 этаж",050051,Самал-2 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 07:30-21:00; Вт: 07:30-21:00; Ср: 07:30-21:00; Чт: 07:30-21:00; Пт: 07:30-21:00; Сб: 07:30-21:00; Вс: 07:30-21:00,+05:00,4.9,132,87773277808,87076334168,,,,,,,,https://wa.me/77076334168,,,,,,43.23176,76.958942,https://2gis.com/firm/70000001027656627,branch
Aspan,бизнес-центр,Бизнес-центры,"микрорайон Жетысу-3, 23а",,050063,Жетысу-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:30-19:00; Вт: 08:30-19:00; Ср: 08:30-19:00; Чт: 08:30-19:00; Пт: 08:30-19:00; Сб: 08:30-19:00; Вс: 08:30-19:00,+05:00,4.9,33,87027145003,,,,,,,,,https://wa.me/77027145003,,,,,,43.218484,76.844484,https://2gis.com/firm/70000001106047617,branch
Aspara,бизнес-центр,Бизнес-центры,"проспект Райымбека, 348/4",101 офис; 1 этаж,050061,Тастак-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-16:00",+05:00,4.9,83,87012181490 (администрация),87272650202,87272447857,,,,https://instagram.com/bc_aspara,,,,,,,,,43.255337,76.864271,https://2gis.com/firm/70000001020550020,branch
AutoCity,торговый центр,Бизнес-центры; Аренда помещений,"микрорайон Аксай-3Б, 1Б",309 офис; 3 этаж,050031,Аксай-3Б м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,4.9,304,87758317380,87019796935,,,,,https://instagram.com/autocity.almaty.tc,,,https://wa.me/77758317380,,,,,,43.237225,76.823203,https://2gis.com/firm/70000001025674060,branch
Bailyk-Development,бизнес-центр,Бизнес-центры; Аренда помещений,"Байзакова улица, 90",1 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,46,87076773114 (администратор),,,,,,,,,https://wa.me/77076773114,,,,,,43.258261,76.911121,https://2gis.com/firm/9429940001334448,branch
Baitursyn,бизнес-центр,Бизнес-центры,"улица Курмангазы, 111",,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.9,82,87273131364,,,,,,,,,,,,,,,43.243548,76.926547,https://2gis.com/firm/70000001063162397,branch
Bliss,бизнес-центр,Бизнес-центры,"улица Гурилёва, 106а",1 этаж,050019,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,21,87017161166,87273377337,,,,,,,,,,,,,,43.288697,76.981149,https://2gis.com/firm/9429940000958852,branch
BNC,бизнес-центр,Бизнес-центры,"Саина улица, 30",1-3 этаж,050031,,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,44,87273560503,,,,,,,,,https://wa.me/77066069906,,,,,,43.235183,76.842849,https://2gis.com/firm/9429940001195057,branch
BNC Plaza,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Тимирязева, 26",1 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,77,87272400000,,,,,,,,,,,,,,,43.230212,76.933603,https://2gis.com/firm/70000001027957530,branch
Botan,бизнес-центр,Бизнес-центры,"улица Черноморская, 12Б",3 этаж,050050,,Жетысуский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,5.0,23,87273830250,87273830992,87014110960,,,,,,,,,,,,,43.284205,76.934805,https://2gis.com/firm/9429940000786147,branch
Car town,торговый центр,Бизнес-центры; Торговые центры; Аренда помещений,"Халиуллина улица, 158","цокольный, 2 этаж",050019,,Медеуский район,Алматы,,Алматы,Казахстан,Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.9,74,87773077704,,,,,,https://instagram.com/car_town_almaty,,,https://wa.me/77773077704,,,,,,43.290799,77.00808,https://2gis.com/firm/70000001043717823,branch
D-160,бизнес-центр,Бизнес-центры,"проспект Достык, 160",,050051,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:30-18:30; Вт: 09:00-13:00, 14:30-18:30; Ср: 09:00-13:00, 14:30-18:30; Чт: 09:00-13:00, 14:30-18:30; Пт: 09:00-13:00, 14:30-18:30",+05:00,4.8,6,87273560971,87273551111 (контакт-центр: пн-пт 9:00-18:00),87273560972,,,,,,,,,,,,,43.23383,76.959079,https://2gis.com/firm/70000001025952968,branch
D-43,бизнес-центр,Бизнес-центры,"проспект Достык, 43",1-5 этаж,050010,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-13:00, 14:00-18:00; Вс: 09:00-13:00, 14:00-18:00",+05:00,4.9,18,87009661368,,,,,,,,,https://wa.me/77009661368,,,,,,43.251422,76.955389,https://2gis.com/firm/9429940001093055,branch
Dia Mart,бизнес-центр,Бизнес-центры,"улица Толе би, 274А",1 этаж,050005,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,4.9,44,87085901228,,,,,,https://instagram.com/dia.mart.kz,,,https://wa.me/77085901228,,,,,,43.248535,76.871653,https://2gis.com/firm/70000001105260288,branch
Element Tower,бизнес-центр,Бизнес-центры; Аренда помещений,"Политехническая улица, 2",1 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,21,87071855565,87771270159 (администратор),,,,,,,,,,,,,,43.235605,76.935531,https://2gis.com/firm/70000001084276171,branch
Esentai Square Offices,бизнес-центр,Бизнес-центры,"проспект Аль-Фараби, 77/8",1-3 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,5.0,5,87717460000,,,,,,,,,,,,,,,43.219277,76.927965,https://2gis.com/firm/70000001022636921,branch
Evolution,бизнес-центр,Бизнес-центры,"Бухар жырау бульвар, 26/1",,050021,Коктем-1 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-12:00,+05:00,4.9,87,87273763700,,,,,,,,,,,,,,,43.232364,76.92322,https://2gis.com/firm/70000001018871039,branch
G84,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Гоголя, 84а",1 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,3.2,9,87014514444,,,,,,,,,https://wa.me/77014514444,,,,,,43.259035,76.937561,https://2gis.com/firm/70000001066649933,branch
Galianos,бизнес-центр,Бизнес-центры,"улица Казыбек би, 117",102 офис; 1 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,78,87272390754,87010981527,,,,,,,,https://wa.me/77010981527,,,,,,43.255779,76.929396,https://2gis.com/firm/9429940001328587,branch
Globus,многофункциональный комплекс,Бизнес-центры; Торгово-развлекательные центры,"проспект Абая, 109в",1 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (администрация: пн-пт 9:00-18:00),+05:00,4.9,1305,87273561515,87003561515 (отдел аренды ),87003571515 (отдел аренды),marketing@kdi.kz,,,https://instagram.com/globus_trc,https://facebook.com/GlobusAlmaty.Kz,https://vk.com/globusalmaty,,,,,,,43.240212,76.904875,https://2gis.com/firm/9429940000852215,branch
Green Hill,бизнес-центр,Бизнес-центры,"проспект Суюнбая, 89Б",319 кабинет; 2 этаж,050016,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.9,57,87017663162 (администратор),,,,,,,,,,,,,,,43.282471,76.948572,https://2gis.com/firm/70000001032346430,branch
Grey,бизнес-центр,Бизнес-центры,"улица Жамбыла, 100",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.9,38,87004000040,,,,,,,,,https://wa.me/77004000040,,,,,,43.246702,76.929756,https://2gis.com/firm/70000001038729573,branch
Green Tower,бизнес-центр,Бизнес-центры; Аренда помещений,"проспект Достык, 192/2",2 этаж,050051,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (администрация: пн-пт 9:00-18:00),+05:00,4.9,92,87273250325 (доп.201),,,,,,https://instagram.com/greentower_almaty,,,https://wa.me/77011410101,,,,,,43.231631,76.960461,https://2gis.com/firm/70000001026752044,branch
Jenis,бизнес-центр,Бизнес-центры,"Бухар жырау бульвар, 33",1-9 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.9,39,87273763700,,,,,,,,,,,,,,,43.232856,76.922235,https://2gis.com/firm/9429940001296480,branch
