Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
A.R.S,бизнес центр,Бизнес-центры,"улица Аскар Токпанов, 33",,,Ак-булак-2 ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.9,83,87019996573,,,,,,,,,,,,,,,51.14329,71.452888,https://2gis.com/firm/70000001080277861,branch
Adalant,бизнес-центр,Бизнес-центры,"улица Чингиз Айтматов, 46/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.9,51,87172248028,,,,,,,,,,,,,,,51.151886,71.371403,https://2gis.com/firm/70000001048004338,branch
Akbulak,бизнес-центр,Бизнес-центры,"улица Аскар Токпанов, 29",,,Ак-булак-3 ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00 (администрация: пн-пт 9:00-18:00),+05:00,5.0,76,87172287154,,,,,,,,,,,,,,,51.141701,71.454719,https://2gis.com/firm/70000001027017548,branch
Alau Park,,Бизнес-центры,"Кабанбай батыр проспект, 47/2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 10:00-14:00,+05:00,5.0,66,87055531613 (администратор),,,,,,,,,,,,,,,51.105998,71.403214,https://2gis.com/firm/70000001081099768,branch
Alcato,бизнес-центр,Бизнес-центры,"улица Каныш Сатпаев, 13а",,,3 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (администрация: пн-пт 10:00-18:00),+05:00,4.9,105,87058416040 (отдел аренды),,,,,,,,,,,,,,,51.147385,71.470838,https://2gis.com/firm/70000001030243156,branch
Almaz,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Жошы хан, 14/2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.9,8,87710998399,,,,,,,https://instagram.com/dia.kazakhstan,,https://wa.me/77710998399,,,,,,51.102776,71.443638,https://2gis.com/firm/70000001104515115,branch
Alpha,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Анет баба, 7а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00,+05:00,4.9,28,87010330001 (отдел аренды),87710601069 (отдел аренды),,,,,,,,https://wa.me/77710601069,https://wa.me/77010330001,,,,,51.135231,71.382793,https://2gis.com/firm/70000001082813178,branch
Aluan,бизнес-центр,Бизнес-центры,"проспект Акжол, 37",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00,+05:00,5.0,11,87172734939,87013456485,,,,,,https://instagram.com/aluan.saiman,,,,,,,,51.184197,71.453946,https://2gis.com/firm/70000001037296808,branch
Arman,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Е 251, 4к",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-20:00,+05:00,4.2,15,87051722020,,,,,,,,,https://wa.me/77051722020,,,,,,51.143848,71.374177,https://2gis.com/firm/70000001105603251,branch
Arman,бизнес-центр,Бизнес-центры; Аренда помещений,"проспект Сарыарка, 6",1-16 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.9,103,87172670015,87172670070,87172670270,,,,,,,,,,,,,51.160287,71.411651,https://2gis.com/firm/70000001018081733,branch
Aspan Tower,бизнес-центр,Бизнес-центры; Аренда помещений,"проспект Туран, 50/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.9,28,87000520052,,,,,,,,,https://wa.me/77000520052,,,,,,51.106926,71.399119,https://2gis.com/firm/70000001094491596,branch
B&A Center,,Бизнес-центры,"проспект Абая, 39",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00 (администрация: пн-пт 9:00-18:00; cб-вс выходной),+05:00,4.9,21,87172691056,,,,,,,,,,,,,,,51.168684,71.424977,https://2gis.com/firm/70000001026487649,branch
Beta,бизнес-центр,Бизнес-центры,"улица Анет баба, 9а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00,+05:00,4.9,18,87010330001 (отдел аренды),87710601069 (отдел аренды),,,,,,,,https://wa.me/77073159765,https://wa.me/77010330001,https://wa.me/77710601069,,,,51.136182,71.383174,https://2gis.com/firm/70000001082813395,branch
Bolashak,бизнес-центр,Бизнес-центры,"улица Алихан Бокейхан, 12",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00; Сб: 08:30-18:00; Вс: 08:30-18:00,+05:00,4.9,29,87172552363 (администратор),,,,,,,,,,,,,,,51.113289,71.437907,https://2gis.com/firm/70000001027937338,branch
Business Нall,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Тарас Шевченко, 4/1",1-5 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,"Пн: 09:00-21:30; Вт: 09:00-21:30; Ср: 09:00-21:30; Чт: 09:00-21:30; Пт: 09:00-21:30; Сб: 09:00-16:00; Вс: 09:00-16:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",+05:00,4.9,92,87719053521,87716669497,,toodikogroup@mail.ru,,,,https://instagram.com/business_hall_,,https://wa.me/77716669497,,,viber://chat/?number=77716669497,,,51.160607,71.402911,https://2gis.com/firm/70000001029448569,branch
Delta Plaza,бизнес-центр,Бизнес-центры; Аренда помещений,"улица Е 882, 3а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+05:00,4.9,55,87172575575,87479285802 (отдел аренды),,,,,,https://instagram.com/deltaplaza.kz,,https://wa.me/77479285802,,,,,,51.164483,71.387274,https://2gis.com/firm/70000001054854649,branch
