Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Abzal_Jihaz,склад-магазин,Мебельные магазины; Мебель для кухни; Мягкая мебель; Корпусная мебель; Детская мебель; Матрасы,"проспект Райымбека, 504а",,050031,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.6,87,87077258688,87055060976,,,,,,,https://instagram.com/abzal_jihaz,,,https://wa.me/77055060976,https://wa.me/77077258688,,,,https://t.me/+77055060976,,,43.246513,76.840957,https://2gis.com/firm/70000001061900350,branch
Art Hall,мебельный салон,Мебельные магазины; Корпусная мебель; Мягкая мебель,"Кабдолова улица, 1/8",4 бутик; 6 ряд; 2 блок,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.2,9,87758889020,,,,,,,,https://instagram.com/arthall_almaty,,,https://wa.me/77758889020,https://wa.me/77758889040,,,,,,,43.235808,76.845314,https://2gis.com/firm/9429940000830087,branch
Art office mebel,компания по производству и продаже офисной мебели,Мебельные магазины; Офисная мебель; Корпусная мебель; Мягкая мебель; Металлическая мебель,"улица Макатаева, 117а",416 офис; 4 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,4.2,5,87055556244,87081179965,,,,,,,https://instagram.com/artofficemebel,,,https://wa.me/77081179965,https://wa.me/77055556244,,,,,,,43.263198,76.927816,https://2gis.com/firm/9429940001644053,branch
Art Мебель,мебельный салон,Мебельные магазины; Мебель для кухни; Мягкая мебель; Корпусная мебель; Мебель на заказ,"улица Достык, 4",1 этаж,40809,3-й м-н,,Конаев,Конаев городская администрация,Алматинская область,Казахстан,Пн: 09:00-18:30; Вт: 09:00-18:30; Ср: 09:00-18:30; Чт: 09:00-18:30; Пт: 09:00-18:30; Сб: 09:00-18:30; Вс: 09:00-18:30,+05:00,3.9,20,87075861653 (единая справочная: пн-вс 10:00-18:00),87075861652 (единая справочная: пн-вс 10:00-18:00),87475886151,,,,,,,,,https://wa.me/77075861653,https://wa.me/77075861652,https://wa.me/77478721279,,,,,,43.854284,77.058956,https://2gis.com/firm/70000001041372181,branch
BaqytMebel,мебельный салон,Мебельные магазины; Корпусная мебель; Мягкая мебель; Мебель для кухни; Детская мебель,"улица Аскарова, 148",1 этаж,040901,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,4.8,52,87013517701,87087713751,,,,,,,https://instagram.com/baqyt.mebel,,,https://wa.me/77087713751,,,,,,,,43.199098,76.629522,https://2gis.com/firm/70000001047418501,branch
Cloud House,мебельный магазин,Мебельные магазины; Мягкая мебель,"улица Ньютона, 1а",207 офис; 2 этаж,050051,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,5.0,8,87071100010,87473719759,,,,,,,https://instagram.com/cloud.hhouse,,,https://wa.me/77473719759,,,,,,,,43.233452,76.959723,https://2gis.com/firm/70000001114289711,branch
D-home,мебельный магазин,Мебельные магазины; Мебель для кухни; Мягкая мебель,"Кабдолова улица, 1/8",25 бутик; 6 ряд; 2 блок,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,17,87077405453,,,,,,,,https://instagram.com/d_home_almaty,,,https://wa.me/77077405453,,,,,,,,43.237303,76.844916,https://2gis.com/firm/70000001043757062,branch
Demal design,салон мебели,Мебельные магазины; Мягкая мебель; Мебель на заказ,"улица Толе би, 187",2 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,47,87472992414,,,,,,,,https://instagram.com/demal_design,,,https://wa.me/77472992414,,,,,https://t.me/+77472992414,,,43.252021,76.899248,https://2gis.com/firm/70000001089167825,branch
Hygge furniture,cалон мягкой мебели,Мебельные магазины; Мягкая мебель,"улица Толе би, 187",2 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,16,87781008113,87761008113,,,,,,,https://instagram.com/hygge_furniture_kz,,,https://wa.me/77761008113,,,,,,,,43.252245,76.899024,https://2gis.com/firm/70000001080627697,branch
Ikemdi,мебельная компания,Мебельные магазины; Мебель на заказ; Мебель для кухни,"улица Ырысты, 46/2а",51 бутик; 2 этаж,050061,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00,+05:00,5.0,9,87017854430,87014004944,,,,,,,https://instagram.com/ikemdi.zhihaz,,,https://wa.me/77014004944,https://wa.me/77017854430,,,,,,,43.261634,76.852796,https://2gis.com/firm/70000001114076333,branch
