Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
17 Aqyn Mebel,мебельная компания,Мебель для кухни; Мебель на заказ; Мебель для ванных комнат; Корпусная мебель; Офисная мебель; Детская мебель,"улица Сарын, 57",,,Юго-Восток (правая сторона) ж/м,Сарайшык район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,5.0,26,87007501733,,,,,,,https://instagram.com/17aqynmebel,,,,https://wa.me/77007501733,,,,,,,51.13364,71.520962,https://2gis.com/firm/70000001104923058,branch
abk_mebel,,Мебель для кухни; Мебель на заказ; Корпусная мебель; Распиловка древесины,"улица Ильи Чехоева, 39а",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,5.0,8,87013200009,,,,,,,https://instagram.com/abk.mebel.3,,,,https://wa.me/77013200009,,,,,,,51.199195,71.462909,https://2gis.com/firm/70000001105023665,branch
Adal Home,мебельная компания,Мебель для кухни; Мебель на заказ; Корпусная мебель; Детская мебель; Офисная мебель,"шоссе Алаш, 13","9, 10 бутик; 2 этаж",,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,2.5,8,87072820094,,,,,,,https://instagram.com/adal.home.astana,,,,https://wa.me/77072820094,,,,,,,51.193748,71.464009,https://2gis.com/firm/70000001097363865,branch
Agera mebel,,Мебель для кухни; Мебель на заказ; Корпусная мебель,"проспект Туран, 53в",2 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,16,87003164646,,,,,,,https://instagram.com/agera_mebel,,,,https://wa.me/77080841010,,,,,,,51.116731,71.397862,https://2gis.com/firm/70000001110617216,branch
Aisa_mebel_interiors,мебельная компания,Мебель для кухни; Мебель на заказ; Корпусная мебель; Детская мебель; Офисная мебель,"улица Жумекен Нажимеденов, 37",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,12,87052246995,,,,,,,https://instagram.com/aisa_mebel_interiors,,,,https://wa.me/77052246995,,,,,,,51.109181,71.538773,https://2gis.com/firm/70000001105348010,branch
Aisha Hanym,мебельная компания,Мебель для кухни; Мебель на заказ; Корпусная мебель; Детская мебель; Офисная мебель,"улица Шары Жиенкуловой, 38/1",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.9,18,87776777257,87718262604,,,,,,https://instagram.com/aishahanym_jihaz,,,,https://wa.me/77776777257,https://wa.me/77718262604,,,,,,51.177791,71.45688,https://2gis.com/firm/70000001067048426,branch
Aisha_mebel_kaz,магазин по продаже диванов,Мебель для кухни; Мебель на заказ; Корпусная мебель,"улица Лесная поляна, 3",цокольный этаж,,Лесная поляна м-н,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.6,20,87712645140,,,,,,,https://instagram.com/aisha_mebel_kaz,,,,https://wa.me/77712645140,,,,,,,50.999841,71.372528,https://2gis.com/firm/70000001083828247,branch
Aizu_mebel_astana,мебельная компания,Мебель для кухни; Мебель на заказ; Корпусная мебель; Детская мебель; Офисная мебель,"Бухар жырау улица, 23",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,5.0,7,87018604499,,,,,,,https://instagram.com/aizu_mebel_astana,,,,https://wa.me/77018604499,,,,,,,51.099839,71.436069,https://2gis.com/firm/70000001113428963,branch
Al Farabi,мебельный центр,Мебель для кухни; Корпусная мебель; Мягкая мебель; Матрасы; Детская мебель; Мебельные магазины,"проспект Акжол, 50",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,160,87773477733,87788839885,,,,,,https://instagram.com/alfarabi_mebel_astana,,https://facebook.com/AlFarabiMebel,,https://wa.me/77773477733,https://wa.me/77788839885,,,,,,51.177986,71.469137,https://2gis.com/firm/70000001057074702,branch
Al Rahat,,Мебель для кухни; Мебель на заказ; Корпусная мебель; Мебель для ванных комнат; Офисная мебель; Детская мебель,"улица Е 900, 2",12 офис,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00,+05:00,4.5,16,87054185086,,,,,,,https://instagram.com/mebel_al_rahat,,,,https://wa.me/77054185086,,,,,,,51.13257,71.394252,https://2gis.com/firm/70000001096951327,branch
