Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Ast недвижимость плюс,,Агентства недвижимости,"Бакинская улица, 39",2 этаж,414045,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00,+04:00,5.0,1,89061779797,89642536666,,,,,,,https://wa.me/79061779797,,,,https://t.me/+79061779797,,,46.340291,48.022711,https://2gis.com/firm/70000001101990261,branch
Ast-недвижимость,агентство недвижимости,Агентства недвижимости; Копировальные услуги; Оформление недвижимости; Юридические услуги; Помощь в оформлении ипотеки,"улица Николая Островского, 51",1 этаж,414045,Жилгородок м-н,Советский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,"Пн: 10:00-12:00, 13:00-18:00; Вт: 10:00-12:00, 13:00-18:00; Ср: 10:00-12:00, 13:00-18:00; Чт: 10:00-12:00, 13:00-18:00; Пт: 10:00-12:00, 13:00-18:00",+04:00,4.9,128,89290196565,89033483482,89171983470,olgaartemeva505@gmail.com,,,,,https://wa.me/79171983470,https://wa.me/79290196565,https://wa.me/79033483482,,https://t.me/+79171983470,,,46.333778,48.023516,https://2gis.com/firm/1126428188193903,branch
AstИнвест,агентство недвижимости,Агентства недвижимости,"улица Кирова, 36",1 этаж,414000,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+04:00,5.0,60,89997938329,,,,,,,,,,,,,,,46.344211,48.037404,https://2gis.com/firm/70000001102768479,branch
Delta Home,агентство недвижимости,Агентства недвижимости; Помощь в оформлении ипотеки; Оформление недвижимости; Юридические услуги,"Боевая улица, 83е",2 этаж,414021,Автогородок м-н,Советский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+04:00,5.0,128,89996459700,89618166966,,,,,,https://vk.com/deltahome30ru,https://wa.me/79996459700,,,,https://t.me/+79996459700,,,46.323398,48.023275,https://2gis.com/firm/70000001063462090,branch
Golden Keys,,Агентства недвижимости,"улица Победы, 53",1 этаж,414040,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+04:00,5.0,3,89170958030,,,,,,,,https://wa.me/79170958030,,,,,,,46.353756,48.056639,https://2gis.com/firm/70000001103748445,branch
Kvartal,агентство недвижимости,Агентства недвижимости; Оформление недвижимости,"улица Николая Островского, 119а",1 этаж; вход с ул. Джона Рида,414057,,Советский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительному звонку),+04:00,5.0,26,89053643145,,,,,,,,https://wa.me/79053643145,,,,https://t.me/+79053643145,,,46.335805,48.045071,https://2gis.com/firm/70000001090595932,branch
Pro дом,центр недвижимости и страхования,Агентства недвижимости; Оформление недвижимости; Страхование,"улица Марии Максаковой, 12а","2,7 офис; цокольный этаж",414056,,Ленинский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+04:00,5.0,68,89170833161,89171782997,,,,,,,https://wa.me/79171782997,,,,,,,46.367195,48.04497,https://2gis.com/firm/70000001092095922,branch
Pro недвижимость,,Агентства недвижимости,"Бакинская улица, 39",130 офис; 2 этаж,414045,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 10:00-14:00,+04:00,5.0,49,89275599888,,,,,,,,https://wa.me/79275599888,,,,https://t.me/+79275599888,,,46.340654,48.022865,https://2gis.com/firm/70000001086785044,branch
А30,агентство недвижимости,Агентства недвижимости,"Бакинская улица, 23",3 этаж,414024,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-15:00,+04:00,5.0,186,89086162626,,,,,,,,https://wa.me/79086162626,,,viber://chat/?number=79086162626,,,,46.339748,48.020013,https://2gis.com/firm/70000001090540230,branch
Август,агентство недвижимости и права,Агентства недвижимости; Оформление недвижимости; Юридические услуги,"улица Красная Набережная, 37",317 офис; 3 этаж,414040,,Кировский район,Астрахань,Астрахань городской округ,Астраханская область,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00; Вс: 08:00-19:00 (по предварительному звонку),+04:00,,,89610556945,,,,,,,,https://wa.me/79610556945,,,,,,,46.353362,48.045295,https://2gis.com/firm/70000001021988486,branch
