Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
1000 мелочей,магазин,Косметика и парфюмерия; Хозтовары,"микрорайон Кокжиек, 54а/1",,050028,Кокжиек м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,23,87477576021,,,,,,,,,,,https://wa.me/77477576021,,,,,,,,43.355026,76.922374,https://2gis.com/firm/70000001102988330,branch
1000 мелочей,магазин,Косметика и парфюмерия; Средства гигиены; Игрушки; Бытовая химия,"микрорайон Айнабулак-3, 129Б/3",,050014,Айнабулак-3 м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,23,87477238107,,,,,,,,,,,,,,,,,,,43.327106,76.921947,https://2gis.com/firm/70000001093569918,branch
1000 мелочей,магазин,Косметика и парфюмерия; Посуда; Канцтовары; Аксессуары к телефонам; Бытовая техника,"улица Пушкина, 2",1 этаж,050016,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.8,10,87471184212,,,,,,,https://instagram.com/1000melochey_cotovik,,,,https://wa.me/77471184212,,,,,,,,43.270477,76.952353,https://2gis.com/firm/70000001082686154,branch
1000 мелочей,магазин,Косметика и парфюмерия; Хозтовары; Бижутерия; Посуда; Солнцезащитные очки,"улица Уалиханова, 33/4",,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:30-22:00; Вт: 10:30-22:00; Ср: 10:30-22:00; Чт: 10:30-22:00; Пт: 10:30-22:00; Сб: 10:30-22:00; Вс: 10:30-22:00,+05:00,4.9,19,87785801557,,,,,,,https://instagram.com/rrbar_bie,,,,https://wa.me/77785801557,,,,,,,,43.264671,76.95013,https://2gis.com/firm/70000001076565345,branch
1000 мелочей,магазин,Косметика и парфюмерия; Хозтовары; Посуда; Канцтовары; Стройматериалы,"проспект Серкебаева, 13",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.9,35,87026547575,87054404100,,,,,,,,,,https://wa.me/77026547575,https://wa.me/77054404100,,,https://t.me/+77026547575,,,,43.224055,76.896114,https://2gis.com/firm/70000001067022618,branch
1000 мелочей,магазин,Косметика и парфюмерия; Копировальные услуги; Бижутерия; Хозтовары; Канцтовары,"улица Басенова, 27",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-14:00,+05:00,4.4,13,87785277272,87072419141,,,,,,,,,,https://wa.me/77785277272,,,,,,,,43.22211,76.895251,https://2gis.com/firm/70000001052313523,branch
1000 мелочей,магазин хозяйственных товаров,Косметика и парфюмерия; Хозтовары; Бижутерия,"улица Утеген батыра, 60",,050061,Тастак-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.8,14,87474860693,87714518851,,,,,,,,,,https://wa.me/77714518851,https://wa.me/77474860693,,,,,,,43.246222,76.856078,https://2gis.com/firm/70000001046217159,branch
1000 мелочей,магазин хозяйственных товаров,Косметика и парфюмерия; Хозтовары; Посуда; Бытовая химия; Средства гигиены,"Ораза Жандосова улица, 21",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:30-20:00,+05:00,5.0,29,87478548363,,,,,,,,,,,https://wa.me/77478548363,,,,,,,,43.231718,76.898352,https://2gis.com/firm/70000001021307053,branch
1001,магазин,Косметика и парфюмерия; Посуда; Бытовая химия; Игрушки,"Алматинская улица, 29/1",,040702,,,,Илийский район,Алматинская область,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,20,87075224415,,,,,,,https://instagram.com/Amanat_Madina2025,,,,https://wa.me/77075224415,,,,,,,,43.407787,76.913547,https://2gis.com/firm/70000001101429527,branch
4u shop,магазин уходовой косметики,Косметика и парфюмерия; Средства гигиены; Аксессуары для ванных комнат,"улица Карасай батыра, 326",26 бутик; E линия; 5 блок,050005,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:30; Вт: 10:00-21:30; Ср: 10:00-21:30; Чт: 10:00-21:30; Пт: 10:00-21:30; Сб: 10:00-21:30; Вс: 10:00-21:30,+05:00,4.4,20,87089230424,,,,,,,https://instagram.com/4u_shop_skincare,,,,https://wa.me/77089230424,,,,,,,,43.246269,76.869439,https://2gis.com/firm/70000001080438156,branch
